application,score_column,MaterialId,Reduced Formula,score_value,viability,weighted_score,clscore,Bandgap,source,is_experimental
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-554014,Li2Cu5(Si2O7)2,0.9,0.695,0.6255,0.929429829120636,0.395699999999999,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-756984,LiFeSiO4,0.9,0.694,0.6245999999999999,0.6479373574256897,2.651799999999999,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-19061,LiFe(SiO3)2,0.9,0.688,0.6192,0.9045082330703736,2.7522,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-510708,LiFe(SiO3)2,0.9,0.688,0.6192,0.9219332337379456,1.7991,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-510635,KNa2LiTi2Fe2(SiO3)8,0.9,0.664,0.5976,0.9192212224006652,2.0557,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-1199484,LiCu2BP2(HO5)2,0.9,0.661,0.5949000000000001,0.9118764996528624,0.6144000000000001,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-1202117,LiCu2BP2(HO5)2,0.9,0.661,0.5949000000000001,0.9267114400863647,0.847299999999999,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-1195117,LiFeP2(HO3)2,0.9,0.65,0.5850000000000001,0.8852254748344421,2.7734,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-1189006,KLiMn2(SiO3)4,0.9,0.646,0.5814,0.9295585751533508,2.041,MP_synthesized,False
Battery Cathode (Li-ion),score_battery_cathode_liion,mp-1194301,Li3CuB3O7,0.9,0.646,0.5814,0.9313111305236816,0.435399999999999,MP_synthesized,False
Battery Anode,score_battery_anode,mp-22635,Fe7SiO10,1.0,0.772,0.772,0.9165456295013428,0.0,MP_synthesized,False
Battery Anode,score_battery_anode,mp-696839,Fe(Si2O3)2,1.0,0.753,0.753,0.9377354383468628,0.0,MP_synthesized,False
Battery Anode,score_battery_anode,mp-1193684,Fe3Si2O9,1.0,0.75,0.75,0.945984959602356,0.0,MP_synthesized,False
Battery Anode,score_battery_anode,mp-1188558,FeCu2SiS4,1.0,0.741,0.741,0.7518506050109863,0.0213,MP_synthesized,False
Battery Anode,score_battery_anode,a5b6a6ce9f,Fe9Si3(Mo3N)4,1.0,0.722,0.722,0.8572431802749634,0.0005,Experimental,True
Battery Anode,score_battery_anode,mp-1214297,Ca2Fe3Si3O14,1.0,0.721,0.721,0.9123076796531676,0.0245,MP_synthesized,False
Battery Anode,score_battery_anode,3aba8c6b0e,Fe7Si5(Mo3N)4,1.0,0.719,0.719,0.778799295425415,0.0034,Experimental,True
Battery Anode,score_battery_anode,03307f5560,Fe8Si3Mo13N4,1.0,0.717,0.717,0.8076725006103516,0.0009,Experimental,True
Battery Anode,score_battery_anode,b5447bbeda,V3Fe2SiN,1.0,0.709,0.709,0.7550328373908997,0.0014,Experimental,True
Battery Anode,score_battery_anode,mp-555470,Mn2Fe3(SiO4)3,1.0,0.707,0.707,0.8416041731834412,0.048499999999999,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-559532,NaFe3Si3O10,0.88,0.744,0.65472,0.917672038078308,1.371699999999999,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-818474,NaFe2(Si2O5)3,0.88,0.731,0.64328,0.9271574020385742,1.998,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-818519,NaCa2Fe5(SiO3)8,0.88,0.73,0.6424,0.9213852286338806,0.5075000000000001,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-21867,NaFe(SiO3)2,0.88,0.726,0.63888,0.8483421802520752,1.835799999999999,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-19130,KNaFe(Si2O5)2,0.88,0.716,0.63008,0.9322475790977478,1.1496,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-1205097,NaFe7(PO4)6,0.88,0.712,0.62656,0.8494696617126465,0.4333,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-556692,NaFe3(PO4)3,0.88,0.704,0.61952,0.8895359635353088,0.0817,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-1193301,NaFe2P2HO8,0.88,0.702,0.61776,0.8465102314949036,0.016599999999999,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-510606,NaFe3H6(SO7)2,0.88,0.702,0.61776,0.8124523758888245,1.8201,MP_synthesized,False
Battery Cathode (Na-ion),score_battery_cathode_naion,mp-604429,NaFe3H6(SO7)2,0.88,0.702,0.61776,0.7791611552238464,1.882,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-23145,Na4Al3Si3ClO12,1.0,0.659,0.659,0.9126851558685304,4.697500000000001,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-23147,Na4Al3Si3BrO12,1.0,0.654,0.654,0.8643990159034729,4.793100000000001,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-23655,Na4Al3Si3IO12,1.0,0.649,0.649,0.8666965961456299,4.151299999999999,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-698491,NaCa2Al4H8C4ClO20,1.0,0.64,0.64,0.8102867007255554,5.1823,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-23648,Li4Al3Si3ClO12,1.0,0.639,0.639,0.97962087392807,5.453399999999999,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-707176,NaCa2Al2P2H5O11F4,1.0,0.629,0.629,0.920966863632202,5.634799999999999,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-8678,NaAlPO4F,1.0,0.627,0.627,0.8622873425483704,8.109,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-23151,Na4BeAlSi4ClO12,1.0,0.624,0.624,0.8757754564285278,7.651,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-707443,Na7AlH2C4(O3F)4,1.0,0.614,0.614,0.8470103740692139,4.805499999999999,MP_synthesized,False
Solid Electrolyte,score_solid_electrolyte,mp-643655,LiAl2H6ClO6,1.0,0.612,0.612,0.8463441729545593,5.1532,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-18905,FeO,0.9,0.783,0.7047,0.9425278306007384,0.0,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-1188678,Fe4O5,0.9,0.776,0.6984,0.9525421261787416,0.0,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,8faa33925b,Fe4Se3S,0.9,0.775,0.6975,0.967870831489563,0.0077,Experimental,True
Supercapacitor Electrode,score_supercapacitor_electrode,mp-18731,Fe3O4,0.9,0.773,0.6957,0.9521861672401428,0.7548,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-19306,Fe3O4,0.9,0.773,0.6957,0.7054262757301331,0.0,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-31770,Fe3O4,0.9,0.773,0.6957,0.563198447227478,0.0,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-505595,Fe3O4,0.9,0.773,0.6957,0.6656357645988464,0.4689,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-510252,Fe3O4,0.9,0.773,0.6957,0.8186781406402588,0.2435,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-611817,Fe3O4,0.9,0.773,0.6957,0.9930312633514404,0.0,MP_synthesized,False
Supercapacitor Electrode,score_supercapacitor_electrode,mp-22635,Fe7SiO10,0.9,0.772,0.6948000000000001,0.9165456295013428,0.0,MP_synthesized,False
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,cf721d7aba,Fe5Ni(BO5)2,0.9,0.703,0.6326999999999999,0.9412348866462708,1.2379,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,3ff19dec47,Fe3CuNi8(BO5)4,0.9,0.696,0.6264,0.8394795656204224,0.3109,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,37d36d4049,Fe4CuNi5(SeO3)12,0.9,0.69,0.621,0.8863058090209961,0.8411,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,mp-21522,FeNi2BO5,0.9,0.687,0.6183000000000001,0.8487873673439026,1.6665,MP_synthesized,False
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,0422f63b5b,Fe3Ni(Se2O5)4,0.9,0.679,0.6111000000000001,0.9553262591362,2.5918,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,30342393d7,FeNi(Se2O5)2,0.9,0.677,0.6093000000000001,0.9387152194976808,2.5057,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,mp-753222,Fe2CoO4,0.9,0.676,0.6084,0.899050235748291,1.5511,MP_synthesized,False
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,6e5fcee786,FeNi3(Se2O5)4,0.9,0.675,0.6075,0.9373407363891602,2.6378,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,cb68223d8c,Fe2Co(SeO3)4,0.9,0.675,0.6075,0.8961209654808044,2.1336,Experimental,True
Redox Flow Battery Electrolyte,score_redox_flow_battery_electrolyte,d9c4e126ae,FeNiSb4(Cl2O3)2,0.9,0.674,0.6066,0.8742701411247253,2.6992,Experimental,True
Hydrogen Storage,score_hydrogen_storage,mp-505576,Zr6Al7Cu16H9,0.85,0.647,0.54995,0.8373432159423828,0.0,MP_synthesized,False
Hydrogen Storage,score_hydrogen_storage,0a00ad876f,AlV10Si5H2,0.85,0.638,0.5423,0.7502280473709106,0.0024,Experimental,True
Hydrogen Storage,score_hydrogen_storage,19c9c38d4d,Sr3CaAl2(VH10)2,0.85,0.594,0.5049,0.789827287197113,0.2565,Experimental,True
